,sentiment,text,polarity,std
0,positive,acertado,0.708,0.149
1,positive,admirable,0.906,0.125
2,positive,admiración,0.45,0.331
3,positive,admirar,0.75,0.177
4,positive,afectivo,0.375,0.0
5,positive,afecto,0.321,0.112
6,positive,afectuoso,0.563,0.131
7,positive,afición,0.5,0.425
8,positive,afortunado,0.813,0.063
9,positive,agradable,0.75,0.181
10,positive,agradecido,0.5,0.125
11,positive,alegrar,0.458,0.315
12,positive,alegre,0.661,0.185
13,positive,alentador,0.594,0.0
14,positive,alentar,0.275,0.418
15,positive,amable,0.688,0.165
16,positive,amar,1.0,0.0
17,positive,amistoso,0.708,0.125
18,positive,amor,0.278,0.171
19,positive,animado,0.494,0.276
20,positive,animar,0.289,0.232
21,positive,apacible,0.313,0.161
22,positive,apasionado,0.469,0.12
23,positive,apego,0.375,0.0
24,positive,aprecio,0.344,0.161
25,positive,aprobar,0.375,0.292
26,positive,ardiente,0.313,0.213
27,positive,atractivo,0.844,0.134
28,positive,beneficio,0.396,0.351
29,positive,benevolencia,0.438,0.277
30,positive,benevolente,0.313,0.177
31,positive,bien,0.833,0.144
32,positive,bienestar,0.531,0.258
33,positive,bondad,0.25,0.267
34,positive,bonito,0.75,0.217
35,positive,buen,0.734,0.2
36,positive,bueno,0.833,0.267
37,positive,cariñoso,0.438,0.188
38,positive,cautivado,0.438,0.0
39,positive,cautivador,0.594,0.438
40,positive,cercano,0.354,0.2
41,positive,comodidad,0.406,0.298
42,positive,compañerismo,0.25,0.191
43,positive,competente,0.589,0.315
44,positive,complacencia,0.688,0.177
45,positive,complacer,0.475,0.326
46,positive,complaciente,0.643,0.159
47,positive,confianza,0.375,0.267
48,positive,confortar,0.375,0.0
49,positive,consolar,0.375,0.0
50,positive,contentarse,0.375,0.177
51,positive,contento,0.778,0.127
52,positive,correcto,0.806,0.125
53,positive,cortés,0.667,0.184
54,positive,cuidadoso,0.521,0.102
55,positive,cálido,0.411,0.257
56,positive,cándido,0.35,0.306
57,positive,cómodo,0.469,0.217
58,positive,decente,0.571,0.2
59,positive,deleitarse,0.475,0.143
60,positive,diestro,0.625,0.331
61,positive,disfrutar,0.536,0.225
62,positive,divertido,0.653,0.132
63,positive,divertir,0.281,0.239
64,positive,divertirse,0.542,0.361
65,positive,dulce,0.518,0.385
66,positive,emotivo,0.313,0.051
67,positive,encantado,0.417,0.129
68,positive,encantador,0.833,0.083
69,positive,entusiasmo,0.661,0.295
70,positive,entusiasta,0.6,0.105
71,positive,estima,0.521,0.188
72,positive,estimulante,0.5,0.143
73,positive,estimular,0.262,0.242
74,positive,euforia,0.531,0.161
75,positive,eufórico,0.344,0.329
76,positive,excelente,0.75,0.088
77,positive,excitante,0.425,0.137
78,positive,experto,0.833,0.144
79,positive,fascinación,0.438,0.354
80,positive,fascinante,0.5,0.413
81,positive,favorable,0.844,0.188
82,positive,favorecer,0.268,0.254
83,positive,felicidad,0.708,0.191
84,positive,feliz,0.719,0.176
85,positive,ferviente,0.5,0.12
86,positive,fiable,0.75,0.088
87,positive,firmeza,0.278,0.268
88,positive,gozar,0.458,0.072
89,positive,gracioso,0.625,0.112
90,positive,gratificante,0.75,0.191
91,positive,gustar,0.406,0.415
92,positive,gusto,0.266,0.369
93,positive,honorable,0.583,0.072
94,positive,honrado,0.667,0.171
95,positive,honrar,0.5,0.191
96,positive,hábil,0.875,0.125
97,positive,ideal,0.425,0.385
98,positive,idóneo,0.7,0.154
99,positive,interés,0.321,0.352
100,positive,jovial,0.775,0.137
101,positive,joya,0.458,0.191
102,positive,jubiloso,0.563,0.088
103,positive,justo,0.675,0.163
104,positive,júbilo,0.542,0.26
105,positive,magnífico,0.804,0.159
106,positive,mañoso,0.563,0.258
107,positive,minucioso,0.438,0.125
108,positive,optimismo,0.458,0.331
109,positive,optimista,0.781,0.157
110,positive,placentero,0.875,0.177
111,positive,plácido,0.25,0.177
112,positive,positivo,0.594,0.258
113,positive,preferencia,0.281,0.063
114,positive,prometedor,0.875,0.102
115,positive,provecho,0.328,0.313
116,positive,reconfortante,0.375,0.063
117,positive,recrear,0.313,0.421
118,positive,recto,0.438,0.301
119,positive,refrescar,0.25,0.2
120,positive,regocijado,0.667,0.125
121,positive,regocijar,0.875,0.177
122,positive,regocijarse,0.313,0.088
123,positive,regocijo,0.25,0.326
124,positive,respetable,0.906,0.12
125,positive,saludable,0.768,0.098
126,positive,sano,0.8,0.112
127,positive,satisfacer,0.578,0.236
128,positive,satisfactorio,0.75,0.161
129,positive,satisfecho,0.6,0.168
130,positive,seductor,0.7,0.163
131,positive,seguro,0.255,0.227
132,positive,sereno,0.297,0.124
133,positive,simpatía,0.354,0.292
134,positive,simpático,0.653,0.289
135,positive,solazar,0.375,0.0
136,positive,sonriente,1.0,0.0
137,positive,sosegado,0.292,0.144
138,positive,superior,0.4,0.22
139,positive,ternura,0.313,0.12
140,positive,tierno,0.375,0.224
141,positive,tranquilizar,0.333,0.144
142,positive,tónico,0.375,0.368
143,positive,utilidad,0.344,0.331
144,positive,vigorizante,0.625,0.125
145,positive,vigorizar,0.375,0.224
146,positive,útil,0.563,0.131
147,positive,a gusto,0.75,0.0
148,positive,adorador,0.5,0.0
149,positive,afectividad,0.625,0.0
150,positive,afectuosidad,0.375,0.0
151,positive,agradado,0.75,0.0
152,positive,agradar,0.708,0.25
153,positive,alborozar,1.0,0.0
154,positive,alegrarse,1.0,0.0
155,positive,altruista,0.25,0.0
156,positive,amativo,0.25,0.0
157,positive,amigable,0.542,0.125
158,positive,amoroso,0.625,0.088
159,positive,animarse,0.25,0.505
160,positive,aprobado,0.5,0.0
161,positive,aprobativo,1.0,0.0
162,positive,aprobatorio,1.0,0.0
163,positive,arrebatador,0.875,0.0
164,positive,autocomplacencia,0.625,0.0
165,positive,benefactor,0.938,0.088
166,positive,beneficencia,0.688,0.265
167,positive,beneficioso,0.917,0.072
168,positive,benéfico,0.625,0.354
169,positive,benévolo,0.438,0.088
170,positive,buen humor,0.813,0.177
171,positive,buena voluntad,0.5,0.265
172,positive,cariñosamente,0.375,0.177
173,positive,complacido,0.438,0.088
174,positive,confiadamente,0.5,0.0
175,positive,confort,0.5,0.0
176,positive,contentamiento,0.5,0.0
